planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
8559,M,3223.8745071563776,10.864078062541287,2.250493584809846,45.477778263309304,646.4502878308512,False,abiotic_o2,0.24619363741002412,9.708719879613962,1000.0,10,22.817384982790628,True,40.061563209284714,0.8353116959654922
8559,M,3223.8745071563776,10.864078062541287,2.250493584809846,45.477778263309304,646.4502878308512,False,abiotic_o2,0.24619363741002412,9.708719879613962,1000.0,20,30.244629186608837,True,31.647789477488452,0.8353116959654922
8560,K,4099.019520326916,7.957000908546463,0.8479472196235407,43.40835412216843,790.9423288690544,False,abiotic_o2,0.26793403684164985,10.89619981070167,1000.0,5,10.87852880791993,True,21.966639730445,1.6979988905306898
8560,K,4099.019520326916,7.957000908546463,0.8479472196235407,43.40835412216843,790.9423288690544,False,abiotic_o2,0.26793403684164985,10.89619981070167,1000.0,10,11.855910679648154,True,21.006347791119083,1.6979988905306898
8560,K,4099.019520326916,7.957000908546463,0.8479472196235407,43.40835412216843,790.9423288690544,False,abiotic_o2,0.26793403684164985,10.89619981070167,1000.0,20,12.501938777481032,True,20.50898519749301,1.6979988905306898
8561,K,3792.306653111984,6.915771065384507,0.6070580479116637,24.32739549811197,680.8942933761659,False,reduced_o2_high_ch4,0.5010147238970301,9.640482903377036,0.001,5,49.45908629450037,True,20.892175716353456,1.479723274869147
8561,K,3792.306653111984,6.915771065384507,0.6070580479116637,24.32739549811197,680.8942933761659,False,reduced_o2_high_ch4,0.5010147238970301,9.640482903377036,0.001,10,50.449987469852054,True,20.450216598680285,1.479723274869147
8561,K,3792.306653111984,6.915771065384507,0.6070580479116637,24.32739549811197,680.8942933761659,False,reduced_o2_high_ch4,0.5010147238970301,9.640482903377036,0.001,20,50.97741823404173,True,20.22636105069307,1.479723274869147
8562,K,3819.038177646008,7.89648645539489,1.0535744457194416,38.580538430181235,387.42797853942443,False,abiotic_o2,0.4952847976035451,8.554367350031157,1000.0,5,9.333956134372311,True,21.20033187474698,2.6904942074508167
8562,K,3819.038177646008,7.89648645539489,1.0535744457194416,38.580538430181235,387.42797853942443,False,abiotic_o2,0.4952847976035451,8.554367350031157,1000.0,10,9.941167805360184,True,20.608906755198532,2.6904942074508167
8562,K,3819.038177646008,7.89648645539489,1.0535744457194416,38.580538430181235,387.42797853942443,False,abiotic_o2,0.4952847976035451,8.554367350031157,1000.0,20,10.308270741746751,True,20.30659750172135,2.6904942074508167
8563,M,3277.6329341571836,10.91511469234834,1.285096473153721,48.129368985241136,438.9687061759234,False,reduced_o2_high_ch4,0.1050607746528377,9.932472197494135,0.001,5,160.68899024139438,True,45.208117686036324,1.2863079799640293
8563,M,3277.6329341571836,10.91511469234834,1.285096473153721,48.129368985241136,438.9687061759234,False,reduced_o2_high_ch4,0.1050607746528377,9.932472197494135,0.001,10,202.30737690915316,True,34.95549965375835,1.2863079799640293
8563,M,3277.6329341571836,10.91511469234834,1.285096473153721,48.129368985241136,438.9687061759234,False,reduced_o2_high_ch4,0.1050607746528377,9.932472197494135,0.001,20,241.25666943020332,True,28.477069377742502,1.2863079799640293
8564,K,4345.548103765377,7.517867093650643,2.3503755205615606,37.9462058828766,943.0433104373075,False,abiotic_o2,0.4291166775626992,6.945178444607413,1000.0,5,13.93270364657226,True,21.27001212720232,1.7712580391123947
8564,K,4345.548103765377,7.517867093650643,2.3503755205615606,37.9462058828766,943.0433104373075,False,abiotic_o2,0.4291166775626992,6.945178444607413,1000.0,10,14.816808958725678,True,20.644774684634108,1.7712580391123947
8564,K,4345.548103765377,7.517867093650643,2.3503755205615606,37.9462058828766,943.0433104373075,False,abiotic_o2,0.4291166775626992,6.945178444607413,1000.0,20,15.370285490316741,True,20.32472193266246,1.7712580391123947
8565,M,3276.1176742444113,9.93723077136342,2.659361686324726,30.650686999283415,242.72865090302042,True,reduced_o2_high_ch4,0.30608520547128154,10.15289607190272,0.001,5,408.255210866416,True,27.498939902618186,2.4147616718471285
8565,M,3276.1176742444113,9.93723077136342,2.659361686324726,30.650686999283415,242.72865090302042,True,reduced_o2_high_ch4,0.30608520547128154,10.15289607190272,0.001,10,456.6168861563246,True,24.039871326411042,2.4147616718471285
8565,M,3276.1176742444113,9.93723077136342,2.659361686324726,30.650686999283415,242.72865090302042,True,reduced_o2_high_ch4,0.30608520547128154,10.15289607190272,0.001,20,489.51643679468776,True,22.111369644512628,2.4147616718471285
8566,M,3501.4017299346306,10.516270005953992,2.7639606308344677,45.08730258046092,468.6833252703013,False,high_co2,0.3885950202542216,9.109432015798948,0.01,5,93.59656946559562,True,36.01682890693646,1.6521814481924002
